fecha,Amaluza,Mazar,Sopladora,Mazar_margen_sobre_min,Mazar_margen_bajo_max,Mazar_dentro_de_banda,Mazar_distancia_a_critico,Amaluza_margen_sobre_min,Amaluza_margen_bajo_max,Amaluza_dentro_de_banda,Sopladora_margen_sobre_min,Sopladora_margen_bajo_max,Sopladora_dentro_de_banda
2022-05-03,1986.65,2148.28,1314.53,50.28,4.72,True,33.28,11.65,4.35,True,2.53,3.47,True
2022-05-04,1986.57,2148.22,1315.19,50.22,4.78,True,33.22,11.57,4.43,True,3.19,2.81,True
2022-05-05,1986.11,2148.62,1316.14,50.62,4.38,True,33.62,11.11,4.89,True,4.14,1.86,True
2022-05-06,1985.92,2149.13,1315.1,51.13,3.87,True,34.13,10.92,5.08,True,3.1,2.9,True
2022-05-07,1984.94,2149.88,1316.23,51.88,3.12,True,34.88,9.94,6.06,True,4.23,1.77,True
2022-05-08,1984.84,2150.51,1316.35,52.51,2.49,True,35.51,9.84,6.16,True,4.35,1.65,True
2022-05-09,1985.3,2150.5,1316.53,52.5,2.5,True,35.5,10.3,5.7,True,4.53,1.47,True
2022-05-10,1985.84,2150.77,1316.2,52.77,2.23,True,35.77,10.84,5.16,True,4.2,1.8,True
2022-05-11,1987.0,2150.99,1316.62,52.99,2.01,True,35.99,12.0,4.0,True,4.62,1.38,True
2022-05-12,1987.26,2151.32,1316.35,53.32,1.68,True,36.32,12.26,3.74,True,4.35,1.65,True
2022-05-13,1986.73,2152.18,1316.42,54.18,0.82,True,37.18,11.73,4.27,True,4.42,1.58,True
2022-05-14,1987.36,2152.99,1316.59,54.99,0.01,True,37.99,12.36,3.64,True,4.59,1.41,True
2022-05-15,1988.63,2153.68,1316.45,55.68,-0.68,False,38.68,13.63,2.37,True,4.45,1.55,True
2022-05-16,1990.8,2153.64,1316.28,55.64,-0.64,False,38.64,15.8,0.2,True,4.28,1.72,True
2022-05-17,1990.9,2154.15,1316.11,56.15,-1.15,False,39.15,15.9,0.1,True,4.11,1.89,True
2022-05-18,1990.5,2154.0,1316.28,56.0,-1.0,False,39.0,15.5,0.5,True,4.28,1.72,True
2022-05-19,1990.68,2153.63,1316.16,55.63,-0.63,False,38.63,15.68,0.32,True,4.16,1.84,True
2022-05-20,1990.6,2153.28,1316.8,55.28,-0.28,False,38.28,15.6,0.4,True,4.8,1.2,True
2022-05-21,1990.62,2153.33,1316.57,55.33,-0.33,False,38.33,15.62,0.38,True,4.57,1.43,True
2022-05-22,1989.77,2153.44,1316.42,55.44,-0.44,False,38.44,14.77,1.23,True,4.42,1.58,True
2022-05-23,1989.35,2153.45,1316.71,55.45,-0.45,False,38.45,14.35,1.65,True,4.71,1.29,True
2022-05-24,1989.0,2153.55,1316.8,55.55,-0.55,False,38.55,14.0,2.0,True,4.8,1.2,True
2022-05-25,1989.43,2153.64,1316.34,55.64,-0.64,False,38.64,14.43,1.57,True,4.34,1.66,True
2022-05-26,1990.15,2153.75,1316.28,55.75,-0.75,False,38.75,15.15,0.85,True,4.28,1.72,True
2022-05-27,1991.04,2153.57,1316.46,55.57,-0.57,False,38.57,16.04,-0.04,False,4.46,1.54,True
2022-05-28,1990.8,2153.62,1316.68,55.62,-0.62,False,38.62,15.8,0.2,True,4.68,1.32,True
2022-05-29,1990.72,2153.56,1316.59,55.56,-0.56,False,38.56,15.72,0.28,True,4.59,1.41,True
2022-05-30,1990.63,2153.37,1316.27,55.37,-0.37,False,38.37,15.63,0.37,True,4.27,1.73,True
2022-05-31,,,,,,False,,,,False,,,False
2022-06-01,1988.52,2153.19,1316.15,55.19,-0.19,False,38.19,13.52,2.48,True,4.15,1.85,True
2022-06-02,1988.91,2152.68,1316.68,54.68,0.32,True,37.68,13.91,2.09,True,4.68,1.32,True
2022-06-03,1989.46,2152.33,1316.86,54.33,0.67,True,37.33,14.46,1.54,True,4.86,1.14,True
2022-06-04,1988.73,2152.73,1316.73,54.73,0.27,True,37.73,13.73,2.27,True,4.73,1.27,True
2022-06-05,1988.02,2152.77,1316.56,54.77,0.23,True,37.77,13.02,2.98,True,4.56,1.44,True
2022-06-06,1986.92,2152.77,1316.3,54.77,0.23,True,37.77,11.92,4.08,True,4.3,1.7,True
2022-06-07,1986.48,2152.49,1316.38,54.49,0.51,True,37.49,11.48,4.52,True,4.38,1.62,True
2022-06-08,1986.54,2152.58,1316.65,54.58,0.42,True,37.58,11.54,4.46,True,4.65,1.35,True
2022-06-09,1985.94,2152.8,1316.02,54.8,0.2,True,37.8,10.94,5.06,True,4.02,1.98,True
2022-06-10,1985.41,2152.94,1316.62,54.94,0.06,True,37.94,10.41,5.59,True,4.62,1.38,True
2022-06-11,1985.38,2153.16,1316.61,55.16,-0.16,False,38.16,10.38,5.62,True,4.61,1.39,True
2022-06-12,1986.13,2153.29,1316.35,55.29,-0.29,False,38.29,11.13,4.87,True,4.35,1.65,True
2022-06-13,1984.95,2153.44,1316.51,55.44,-0.44,False,38.44,9.95,6.05,True,4.51,1.49,True
2022-06-14,1984.95,2153.15,1316.69,55.15,-0.15,False,38.15,9.95,6.05,True,4.69,1.31,True
2022-06-15,1984.92,2152.74,1317.0,54.74,0.26,True,37.74,9.92,6.08,True,5.0,1.0,True
2022-06-16,1984.94,2152.1,1315.8,54.1,0.9,True,37.1,9.94,6.06,True,3.8,2.2,True
2022-06-17,1985.22,2151.33,1315.66,53.33,1.67,True,36.33,10.22,5.78,True,3.66,2.34,True
2022-06-18,1985.3,2150.88,1316.51,52.88,2.12,True,35.88,10.3,5.7,True,4.51,1.49,True
2022-06-19,1983.57,2151.08,1316.27,53.08,1.92,True,36.08,8.57,7.43,True,4.27,1.73,True
2022-06-20,1985.12,2150.4,1316.67,52.4,2.6,True,35.4,10.12,5.88,True,4.67,1.33,True
2022-06-21,1985.74,2149.88,1316.32,51.88,3.12,True,34.88,10.74,5.26,True,4.32,1.68,True
2022-06-22,1985.87,2149.84,1315.99,51.84,3.16,True,34.84,10.87,5.13,True,3.99,2.01,True
2022-06-23,1985.76,2150.43,1316.14,52.43,2.57,True,35.43,10.76,5.24,True,4.14,1.86,True
2022-06-24,1990.52,2152.56,1316.16,54.56,0.44,True,37.56,15.52,0.48,True,4.16,1.84,True
2022-06-25,1990.97,2155.02,1316.65,57.02,-2.02,False,40.02,15.97,0.03,True,4.65,1.35,True
2022-06-26,1990.77,2154.28,1316.62,56.28,-1.28,False,39.28,15.77,0.23,True,4.62,1.38,True
2022-06-27,1990.68,2153.71,1316.15,55.71,-0.71,False,38.71,15.68,0.32,True,4.15,1.85,True
2022-06-28,1990.5,2153.28,1315.99,55.28,-0.28,False,38.28,15.5,0.5,True,3.99,2.01,True
2022-06-29,1990.79,2153.15,1316.35,55.15,-0.15,False,38.15,15.79,0.21,True,4.35,1.65,True
2022-06-30,,,,,,False,,,,False,,,False
2022-07-01,1990.07,2153.37,1316.25,55.37,-0.37,False,38.37,15.07,0.93,True,4.25,1.75,True
2022-07-02,1989.27,2153.57,1316.62,55.57,-0.57,False,38.57,14.27,1.73,True,4.62,1.38,True
2022-07-03,1991.67,2155.51,1315.99,57.51,-2.51,False,40.51,16.67,-0.67,False,3.99,2.01,True
2022-07-04,1991.05,2155.49,1316.04,57.49,-2.49,False,40.49,16.05,-0.05,False,4.04,1.96,True
2022-07-05,1990.8,2154.89,1315.89,56.89,-1.89,False,39.89,15.8,0.2,True,3.89,2.11,True
2022-07-06,1991.36,2154.78,1315.1,56.78,-1.78,False,39.78,16.36,-0.36,False,3.1,2.9,True
2022-07-07,1991.04,2154.0,1316.73,56.0,-1.0,False,39.0,16.04,-0.04,False,4.73,1.27,True
2022-07-08,1990.56,2153.59,1316.56,55.59,-0.59,False,38.59,15.56,0.44,True,4.56,1.44,True
2022-07-09,1990.95,2154.62,1316.67,56.62,-1.62,False,39.62,15.95,0.05,True,4.67,1.33,True
2022-07-10,1990.71,2154.0,1316.33,56.0,-1.0,False,39.0,15.71,0.29,True,4.33,1.67,True
2022-07-11,1990.71,2153.49,1316.62,55.49,-0.49,False,38.49,15.71,0.29,True,4.62,1.38,True
